Station ID,Group,Sample Date (mm/dd/yyyy),Sample Time (hh:mm),Establishment Date (mm/dd/yyyy),Establishment Time (hh:mm),Time Zone,Direction (Collar Number),Direction (Compass Degrees),Pin Number,Observed Pin Height (mm),Verified Pin Height (mm),SETID,Organization,Personnel,Observation Comments,Verification Comments,Site Conditions
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,1,579,579,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,2,582,582,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,3,570,570,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,4,563,563,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,5,551,551,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,6,560,560,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,7,572,572,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,8,555,555,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,1,40,9,559,559,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression. ,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,1,570,570,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,2,569,569,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,3,560,560,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,4,556,556,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,5,558,558,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,6,566,566,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,7,594,,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,On dead Spartina alterniflora stem.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,8,565,565,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,3,310,9,587,,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,On dead Spartina alterniflora stem.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,1,612,612,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,2,688,,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,On dead Spartina alterniflora stem.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,3,625,,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,On dead Spartina alterniflora stem.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,4,600,600,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,5,605,605,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,6,602,602,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,7,607,607,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,8,610,610,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,5,220,9,606,606,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,1,572,572,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,In a natural depression.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,2,614,,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,On dead Spartina alterniflora stem.,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,3,581,581,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,4,590,590,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,5,601,601,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,6,599,599,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,7,605,605,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,8,601,601,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0581-E01,,1/30/2023,10:26,6/8/2006,16:33,CST,7,130,9,600,600,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;L. Ledoux;C. Briolo;J. Aguillard,,,Site is flooded 20.5 cm; Vegetation is senesced; Dominant spp. are Spartina alterniflora; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 167 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,1,500,500,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,2,495,495,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,3,497,497,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,4,498,498,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,5,488,488,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,6,492,492,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,7,489,489,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,8,499,499,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,1,150,9,495,495,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,1,504,504,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,2,505,505,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,3,504,504,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,4,501,501,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,5,499,499,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,6,499,499,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
CRMS0589-E01,,1/30/2023,11:28,6/20/2006,10:34,CST,3,60,7,493,493,2005-1,COASTAL ESTUARY SERVICES LLC,M. Vincent;C. Briolo;L. Ledoux;J. Aguillard,,,Site is flooded 14 cm; Vegetation is senesced; Dominant spp. are Distichlis spicata; Firm  mineral (clayey) soil; No Thatch; No Disturbance; Rod to collar = 166 mm
